id;customer_id;reservation_id;amount;payment_status;payment_method
1;529856d2-c843-4912-8217-65ce8d3b0675;7c5c12bf-f80f-4ec3-815a-222224580aab;87;RECEIVED;CASH
2;4e4a1bc6-37b1-404c-8376-75fe8ad448e3;05584eeb-8ff8-43cc-83d6-a0bb96d26018;813;PENDING;CASH
3;95d18bff-d808-4abd-8a75-9408fa2d80a9;fda4cb0f-ccdc-4e67-84a2-679c440bcf03;566;PENDING;TRANSFERENCE
4;a137ba8b-bb95-4903-b6a2-169daff6d8b3;b9465ec2-e151-4b3c-ab5a-9c21a3229f4d;228;RECEIVED;CASH
5;aa35f4f3-bf98-4818-ba40-2c7133e83a2d;c9b78e78-ad04-4873-949b-1b2132befe24;527;PENDING;CASH
6;342b9d6c-6dbd-4dd7-b5fb-c38e5647a3f4;55487ac0-4456-450a-8860-5d697f9895e3;756;RECEIVED;CASH
7;630b5f0a-cf8c-4f1d-bce0-b0ad1416b9ae;31ff1714-d3fb-4015-befd-9a09d9084001;585;RECEIVED;CASH
8;c24d4298-714d-422e-a81b-11efee6cd45e;ceed2326-7b0f-4c9c-8ecc-20c5087c14a8;147;PENDING;CASH
9;d8f675df-0821-4392-9292-b3c371529c35;e760d293-350d-4a98-9939-b9022b0c0fad;970;PENDING;TRANSFERENCE
10;a03f7d39-2188-483c-8935-fff4fd133e99;8ffbd0d1-abf7-4360-a260-a814b893fae8;60;PENDING;CASH
